Plot Name,Unique_treeID,treeID,HT.m.,DBH.m.,CBH.m.,CW.m.,Ht-DBH_ratio,CW-DBH_ratio,Ht-DBH_Quant,CW-DBH_Quant,flag,Segmentation_Attempt
BD_005_C,12,10,4.374,0.258595358,1.4137,3.784410462,16.91445678,14.63448724,0.000325521,0.137044271,TRUE,1
BD_005_C,13,11,6.143,0.741258344,0.73375,6.4935278,8.287259162,8.760141258,0,0,TRUE,1
BD_005_C,14,12,2.508,0.28462254,0.7185,1.657292089,8.811670359,5.822771759,0,0,TRUE,1
BGT_MX_001_C,1,1,6.954,0.388134827,0.871,7.949639928,17.91645458,20.48164549,0.000325521,0.6953125,TRUE,1
BGT_MX_001_C,2,2,6.505,0.277702888,0.679,1.935984145,23.42431528,6.971422445,0.005859375,0,TRUE,1
BGT_MX_001_C,3,3,2.009,0.48785855,0.6886,3.55034997,4.117996905,7.27741672,0,0,TRUE,1
BGT_MX_001_C,4,4,11.634,0.228086383,0.65,6.175721597,51.00699052,27.07623972,0.505859375,0.929361979,TRUE,1
BGT_MX_001_C,5,5,9.05,0.618412751,0.575,6.002545686,14.634239,9.706374387,0,0,TRUE,1
BGT_MX_001_C,6,6,10.403,0.332373497,1.16425,3.416761278,31.29912608,10.27988484,0.050455729,0,TRUE,1
BGT_MX_001_C,7,7,1.63,0.358480154,1.081,2.771830523,4.546974163,7.732172867,0,0,TRUE,1
BGT_MX_001_C,8,8,6.311,0.229291411,0.6112,3.394705142,27.52392677,14.80519977,0.024739583,0.153971354,TRUE,1
BGT_MX_001_C,9,9,7.685,0.414621305,0.723,4.037104917,18.53498579,9.736848699,0.000651042,0,TRUE,1
BGT_MX_001_C,10,10,10.225,0.459248004,1.1083,2.93325751,22.26465858,6.387088213,0.004557292,0,TRUE,1
BGT_MX_003_C,1,1,13.27,0.285187264,4.0939,4.677547319,46.5308297,16.40166976,0.375651042,0.365234375,FALSE,0
BGT_MX_003_C,2,3,14.131,0.334811622,4.1972,5.995721888,42.20582278,17.90774718,0.255208333,0.52734375,FALSE,0
BGT_MX_003_C,3,5,11.62,0.252027026,2.388,4.627295172,46.10616638,18.36031335,0.36328125,0.573242188,FALSE,0
BGT_MX_003_C,4,7,11.52,0.223824926,4.073,4.865421414,51.46879839,21.73762099,0.522135417,0.749674479,FALSE,0
BGT_MX_003_C,5,9,11.878,0.248579055,0.8274,3.598138255,47.78359149,14.47482476,0.411458333,0.1171875,FALSE,0
BGT_MX_003_C,6,12,9.615,0.223856254,3.6167,4.029233925,42.9516702,17.99920194,0.277994792,0.538736979,FALSE,0
BGT_MX_003_C,7,13,13.191,0.249897551,4.548,3.813745397,52.78563126,15.26123556,0.556640625,0.222005208,FALSE,0
BGT_MX_003_C,8,16,12.513,0.274856414,3.9393,4.88098718,45.52558856,17.75831648,0.34765625,0.517578125,FALSE,0
BGT_MX_003_C,9,1,12.034,0.26715288,0.58,7.321168082,45.04536875,27.40441382,0.334635417,0.930664063,TRUE,1
BGT_MX_003_C,10,2,14.206,0.637305544,3.196,9.182002208,22.29072088,14.40753544,0.004557292,0.107096354,TRUE,1
BGT_MX_004_C,1,8,8.84,0.140609994,0.89,3.158862462,62.86893111,22.46541929,0.776041667,0.787434896,FALSE,0
BGT_MX_004_C,2,21,8.212,0.185471325,2.5985,2.726571417,44.2763861,14.70077067,0.313802083,0.145507813,FALSE,0
BGT_MX_004_C,3,1,9.035,0.23869933,1.601,3.30142061,37.85096511,13.83087508,0.15625,0.05859375,TRUE,1
BGT_MX_004_C,4,2,8.128,0.515110748,1.228,3.237352966,15.77913105,6.284770755,0.000325521,0,TRUE,1
BGT_MX_004_C,5,3,8.109,0.3308441,0.647,6.878509535,24.51003356,20.79078795,0.010416667,0.713216146,TRUE,1
BGT_MX_004_C,6,4,2.007,0.371088193,0.5691,2.838549206,5.408417834,7.649257673,0,0,TRUE,1
BGT_MX_004_C,7,5,7.736,0.322647298,0.613,7.879680293,23.97664583,24.42196273,0.007161458,0.877604167,TRUE,1
BGT_MX_004_C,8,6,10.458,0.46424167,1.66235,4.300032121,22.52706011,9.262486333,0.004882813,0,TRUE,1
BGT_MX_004_C,9,7,2.438,0.517141562,0.55985,3.724369413,4.714376451,7.201837348,0,0,TRUE,1
BGT_MX_004_C,10,8,2.648,0.203780282,0.963,7.753814616,12.99438774,38.04987672,0,0.956054688,TRUE,1
BGT_MX_004_C,11,9,7.551,0.40516058,0.569,5.738765609,18.63705495,14.16417561,0.000976563,0.083333333,TRUE,1
BGT_MX_005_C,1,21,7.084,0.138655711,1.661,2.113551322,51.09057514,15.24316101,0.5078125,0.215169271,FALSE,0
BGT_MX_005_C,2,22,6.257,0.132308856,1.1794,2.266756476,47.29086319,17.13231107,0.393554688,0.452148438,FALSE,0
BGT_MX_005_C,3,31,8.21,0.175212144,2.983,2.721004884,46.85748255,15.52977331,0.383138021,0.255859375,FALSE,0
BGT_MX_005_C,4,38,11.797,0.297964112,0.673,4.592435285,39.59201635,15.4127128,0.192708333,0.241210938,FALSE,0
BGT_MX_005_C,5,49,13.023,0.290282725,0.8,4.28679963,44.8631588,14.76767047,0.330403646,0.151041667,FALSE,0
BGT_MX_005_C,6,69,7.48,0.17592468,2.0551,2.921607916,42.51819589,16.6071521,0.264973958,0.38671875,FALSE,0
BGT_MX_005_C,7,18,11.293,0.169524677,2.7784,2.552439694,66.61567028,15.05644922,0.831380208,0.190755208,FALSE,1
BGT_MX_005_C,8,1,12.026,0.242899495,1.51195,4.233030715,49.5101893,17.42708731,0.459960938,0.480794271,FALSE,2
BGT_MX_005_C,9,8,9.479,0.257364429,0.8204,4.808607779,36.8310416,18.6840419,0.133789063,0.603190104,FALSE,3
BGT_MX_005_C,10,1,10.312,0.301827458,1.9384,3.298737322,34.165215,10.92921546,0.086914063,0.000325521,TRUE,5
BGT_MX_005_C,11,2,10.205,0.297022103,2.1266,4.888598985,34.35771239,16.45870436,0.08984375,0.373697917,TRUE,5
BGT_MX_005_C,12,3,7.134,0.253366642,1.3493,3.118571281,28.15682421,12.30853145,0.027018229,0.002929688,TRUE,5
BGT_MX_005_C,13,4,7.302,0.284183416,0.8582,3.29530796,25.69467319,11.59570817,0.015299479,0.000325521,TRUE,5
BGT_MX_005_C,14,5,3.009,0.515434327,0.5797,0.66257143,5.837795124,1.285462366,0,0,TRUE,5
BGT_MX_005_C,15,6,9.207,0.307155186,0.687,5.162162408,29.97507589,16.8063658,0.039388021,0.413736979,TRUE,5
BGT_MX_005_C,16,7,5.599,0.407086326,0.7822,2.284274382,13.75383954,5.611277605,0,0,TRUE,5
BGT_MX_005_C,17,8,10.207,0.209837049,0.7865,2.050449845,48.64250633,9.77162923,0.435221354,0,TRUE,5
BGT_MX_005_C,18,9,4.767,0.282108241,0.792,4.80873944,16.89776938,17.04572479,0.000325521,0.444661458,TRUE,5
BGT_MX_005_C,19,10,10.209,0.2422613,1.476,3.144502432,42.14044918,12.97979674,0.254557292,0.013997396,TRUE,5
BGT_MX_005_C,20,11,2.505,0.344724103,0.56765,0.995281598,7.266680744,2.887183082,0,0,TRUE,5
BGT_MX_005_C,21,12,5.679,0.303916818,0.603,5.382615292,18.686034,17.71081746,0.000976563,0.51171875,TRUE,5
BGT_MX_006_C,1,3,8.823,0.157285568,1.1726,2.708349183,56.09542019,17.21931151,0.639322917,0.457356771,FALSE,0
BGT_MX_006_C,2,14,11.841,0.19342724,2.1767,3.091595525,61.2168172,15.98324788,0.748697917,0.311523438,FALSE,0
BGT_MX_006_C,3,33,10.667,0.242150696,2.6172,3.492650511,44.05108125,14.42345847,0.30859375,0.109049479,FALSE,0
BGT_MX_006_C,4,38,8.011,0.200930256,0.581,4.341649229,39.86955553,21.60774248,0.196614583,0.749348958,FALSE,0
BGT_MX_006_C,5,39,7.358,0.148624611,1.12055,2.521120531,49.50727832,16.9630084,0.459960938,0.433268229,FALSE,0
BGT_MX_006_C,6,61,10.792,0.26338693,0.705,6.463113218,40.97393897,24.53847355,0.224934896,0.878255208,FALSE,0
BGT_MX_006_C,7,64,11.105,0.196406899,1.907,3.236054729,56.54078388,16.47627835,0.647135417,0.373697917,FALSE,0
BGT_MX_006_C,8,70,6.271,0.171410945,0.604,3.007570579,36.58459503,17.54596582,0.127604167,0.491210938,FALSE,0
BGT_MX_006_C,9,76,9.99,0.170555063,1.882,2.785342778,58.573459,16.33104714,0.694661458,0.358398438,FALSE,0
BGT_MX_006_C,10,78,10.858,0.173686547,0.99685,3.128939072,62.51491663,18.01486141,0.770182292,0.538736979,FALSE,0
